Run,Strategy,DataType,BTCChange%,PortfolioChange%
1,SimpleMomentum,Normal,-4.6361,0.0000
1,BollingerBands,Normal,-4.6361,-2.7695
1,SimpleMomentum,Noise3,-6.9361,5.4184
1,BollingerBands,Noise3,-6.9361,30.7722
1,SimpleMomentum,Noise6,-15.8416,12.5771
1,BollingerBands,Noise6,-15.8416,35.8863
2,SimpleMomentum,Normal,3.7807,0.0000
2,BollingerBands,Normal,3.7807,1.9102
2,SimpleMomentum,Noise3,6.6461,12.5404
2,BollingerBands,Noise3,6.6461,9.6321
2,SimpleMomentum,Noise6,6.5113,17.5844
2,BollingerBands,Noise6,6.5113,44.2059
3,SimpleMomentum,Normal,6.2911,2.8387
3,BollingerBands,Normal,6.2911,2.9192
3,SimpleMomentum,Noise3,8.9545,10.4950
3,BollingerBands,Noise3,8.9545,3.9864
3,SimpleMomentum,Noise6,-8.6671,19.7171
3,BollingerBands,Noise6,-8.6671,16.0214
4,SimpleMomentum,Normal,9.2415,0.0000
4,BollingerBands,Normal,9.2415,0.1566
4,SimpleMomentum,Noise3,18.7931,15.3026
4,BollingerBands,Noise3,18.7931,0.0000
4,SimpleMomentum,Noise6,-0.3138,18.9903
4,BollingerBands,Noise6,-0.3138,41.5521
5,SimpleMomentum,Normal,10.4817,0.0000
5,BollingerBands,Normal,10.4817,0.3841
5,SimpleMomentum,Noise3,6.4347,11.9937
5,BollingerBands,Noise3,6.4347,0.0000
5,SimpleMomentum,Noise6,-4.4979,15.2431
5,BollingerBands,Noise6,-4.4979,41.5521
6,SimpleMomentum,Normal,-5.3432,0.0029
6,BollingerBands,Normal,-5.3432,-3.8609
6,SimpleMomentum,Noise3,-7.2281,8.6818
6,BollingerBands,Noise3,-7.2281,30.7722
6,SimpleMomentum,Noise6,3.6662,19.2947
6,BollingerBands,Noise6,3.6662,13.5850
7,SimpleMomentum,Normal,0.0945,0.4260
7,BollingerBands,Normal,0.0945,0.9416
7,SimpleMomentum,Noise3,5.9526,11.3687
7,BollingerBands,Noise3,5.9526,13.5825
7,SimpleMomentum,Noise6,7.0817,17.3609
7,BollingerBands,Noise6,7.0817,62.7332
8,SimpleMomentum,Normal,1.3986,0.4049
8,BollingerBands,Normal,1.3986,-0.2140
8,SimpleMomentum,Noise3,-4.4594,10.1060
8,BollingerBands,Noise3,-4.4594,24.5228
8,SimpleMomentum,Noise6,6.5038,21.8028
8,BollingerBands,Noise6,6.5038,219.7384
9,SimpleMomentum,Normal,-8.1568,-2.0621
9,BollingerBands,Normal,-8.1568,-6.4335
9,SimpleMomentum,Noise3,-18.2818,0.5245
9,BollingerBands,Noise3,-18.2818,37.8284
9,SimpleMomentum,Noise6,-9.8924,11.5125
9,BollingerBands,Noise6,-9.8924,47.6819
10,SimpleMomentum,Normal,8.6225,0.0000
10,BollingerBands,Normal,8.6225,0.3841
10,SimpleMomentum,Noise3,6.6788,12.0660
10,BollingerBands,Noise3,6.6788,12.4077
10,SimpleMomentum,Noise6,7.0345,21.0156
10,BollingerBands,Noise6,7.0345,22.5388
11,SimpleMomentum,Normal,-5.5548,0.0000
11,BollingerBands,Normal,-5.5548,-2.0295
11,SimpleMomentum,Noise3,-8.2162,4.7402
11,BollingerBands,Noise3,-8.2162,19.0616
11,SimpleMomentum,Noise6,-18.0930,12.0374
11,BollingerBands,Noise6,-18.0930,35.8863
12,SimpleMomentum,Normal,-0.4074,0.1500
12,BollingerBands,Normal,-0.4074,-0.2978
12,SimpleMomentum,Noise3,-3.3463,9.0556
12,BollingerBands,Noise3,-3.3463,28.0893
12,SimpleMomentum,Noise6,0.6137,24.1561
12,BollingerBands,Noise6,0.6137,109.0817
13,SimpleMomentum,Normal,0.8726,0.1133
13,BollingerBands,Normal,0.8726,2.2308
13,SimpleMomentum,Noise3,-3.1697,10.3437
13,BollingerBands,Noise3,-3.1697,7.3924
13,SimpleMomentum,Noise6,1.4901,13.2269
13,BollingerBands,Noise6,1.4901,84.2675
14,SimpleMomentum,Normal,0.6556,0.3405
14,BollingerBands,Normal,0.6556,-0.2140
14,SimpleMomentum,Noise3,-4.3282,6.0798
14,BollingerBands,Noise3,-4.3282,24.5228
14,SimpleMomentum,Noise6,-3.4148,15.2430
14,BollingerBands,Noise6,-3.4148,219.7384
15,SimpleMomentum,Normal,0.2214,-0.0677
15,BollingerBands,Normal,0.2214,1.8022
15,SimpleMomentum,Noise3,4.4877,12.1583
15,BollingerBands,Noise3,4.4877,0.0000
15,SimpleMomentum,Noise6,4.2471,16.7463
15,BollingerBands,Noise6,4.2471,84.2675
16,SimpleMomentum,Normal,-6.2291,0.0000
16,BollingerBands,Normal,-6.2291,-2.7676
16,SimpleMomentum,Noise3,-0.6325,6.8422
16,BollingerBands,Noise3,-0.6325,19.0616
16,SimpleMomentum,Noise6,-2.0470,15.8022
16,BollingerBands,Noise6,-2.0470,45.5147
17,SimpleMomentum,Normal,-1.0704,0.0000
17,BollingerBands,Normal,-1.0704,2.3498
17,SimpleMomentum,Noise3,2.6838,5.4698
17,BollingerBands,Noise3,2.6838,0.0000
17,SimpleMomentum,Noise6,6.5746,21.3269
17,BollingerBands,Noise6,6.5746,45.5147
18,SimpleMomentum,Normal,-6.9124,-0.3525
18,BollingerBands,Normal,-6.9124,-3.9923
18,SimpleMomentum,Noise3,-6.7146,6.3606
18,BollingerBands,Noise3,-6.7146,57.1829
18,SimpleMomentum,Noise6,-19.6399,8.2744
18,BollingerBands,Noise6,-19.6399,61.8748
19,SimpleMomentum,Normal,0.0398,0.3923
19,BollingerBands,Normal,0.0398,0.9416
19,SimpleMomentum,Noise3,1.6186,10.9936
19,BollingerBands,Noise3,1.6186,13.5825
19,SimpleMomentum,Noise6,0.3531,17.8363
19,BollingerBands,Noise6,0.3531,62.7332
20,SimpleMomentum,Normal,0.1927,0.1685
20,BollingerBands,Normal,0.1927,-0.2978
20,SimpleMomentum,Noise3,2.4173,9.5031
20,BollingerBands,Noise3,2.4173,26.4771
20,SimpleMomentum,Noise6,-9.7037,16.4861
20,BollingerBands,Noise6,-9.7037,109.0817
21,SimpleMomentum,Normal,0.0398,0.3923
21,BollingerBands,Normal,0.0398,0.9416
21,SimpleMomentum,Noise3,1.6186,10.9936
21,BollingerBands,Noise3,1.6186,13.5825
21,SimpleMomentum,Noise6,0.3531,17.8363
21,BollingerBands,Noise6,0.3531,62.7332
22,SimpleMomentum,Normal,1.2180,0.5350
22,BollingerBands,Normal,1.2180,3.6806
22,SimpleMomentum,Noise3,5.4834,10.9714
22,BollingerBands,Noise3,5.4834,3.9864
22,SimpleMomentum,Noise6,-10.9322,16.3511
22,BollingerBands,Noise6,-10.9322,33.0637
23,SimpleMomentum,Normal,-9.1634,-0.8603
23,BollingerBands,Normal,-9.1634,-5.0517
23,SimpleMomentum,Noise3,-3.5493,8.7180
23,BollingerBands,Noise3,-3.5493,57.1829
23,SimpleMomentum,Noise6,-12.3724,13.9371
23,BollingerBands,Noise6,-12.3724,61.8748
24,SimpleMomentum,Normal,8.6225,0.0000
24,BollingerBands,Normal,8.6225,0.3841
24,SimpleMomentum,Noise3,6.6788,12.0660
24,BollingerBands,Noise3,6.6788,12.4077
24,SimpleMomentum,Noise6,7.0345,21.0156
24,BollingerBands,Noise6,7.0345,22.5388
25,SimpleMomentum,Normal,-2.0014,0.0000
25,BollingerBands,Normal,-2.0014,1.8071
25,SimpleMomentum,Noise3,-4.1539,8.0736
25,BollingerBands,Noise3,-4.1539,0.0000
25,SimpleMomentum,Noise6,-7.5111,16.9979
25,BollingerBands,Noise6,-7.5111,45.5147
26,SimpleMomentum,Normal,8.9892,0.0000
26,BollingerBands,Normal,8.9892,0.3841
