Day,Second,Value
0,0,67.727
0,1,67.728
0,2,67.7281
0,3,67.7392
0,4,67.755
0,5,67.759
0,6,67.7638
0,7,67.7659
0,8,67.778
0,9,67.7944
0,10,67.8139
0,11,67.8533
0,12,67.9035
0,13,67.9691
0,14,68.0332
0,15,68.0813
0,16,68.0821
0,17,68.1468
0,18,68.2187
0,19,68.256
0,20,68.3502
0,21,68.4217
0,22,68.4912
0,23,68.493
0,24,68.584
0,25,68.646
0,26,68.7552
0,27,68.8892
0,28,68.9196
0,29,68.9828
0,30,69.0569
0,31,69.1667
0,32,69.2989
0,33,69.3658
0,34,69.4352
0,35,69.6147
0,36,69.6198
0,37,69.655
0,38,69.8011
0,39,69.9331
0,40,69.9834
0,41,70.0942
0,42,70.1216
0,43,70.1513
0,44,70.2637
0,45,70.4845
0,46,70.5161
0,47,70.722
0,48,70.7496
0,49,70.8818
0,50,70.9329
0,51,71.1633
0,52,71.2435
0,53,71.4586
0,54,71.7284
0,55,71.7704
0,56,71.9107
0,57,72.1545
0,58,72.2715
0,59,72.4472
0,60,72.4592
0,61,72.7651
0,62,72.9102
0,63,73.0866
0,64,73.3437
0,65,73.4951
0,66,73.7181
0,67,73.8944
0,68,74.0628
0,69,74.3362
0,70,74.5479
0,71,74.8299
0,72,75.088
0,73,75.1345
0,74,75.4465
0,75,75.7332
0,76,75.7865
0,77,76.1933
0,78,76.3097
0,79,76.4931
0,80,76.6911
0,81,77.0958
0,82,77.3235
0,83,77.4439
0,84,77.7279
0,85,77.9763
0,86,78.0386
0,87,78.4026
0,88,78.7065
0,89,78.7484
0,90,79.0428
0,91,79.2117
0,92,79.3986
0,93,79.901
0,94,80.4246
0,95,80.7833
0,96,81.3756
0,97,81.9375
0,98,82.2919
0,99,82.3691
0,100,82.9556
0,101,83.105
0,102,83.3506
0,103,83.9542
0,104,84.2267
0,105,84.5647
0,106,85.2423
0,107,85.3786
0,108,86.0549
0,109,86.6216
0,110,87.2191
0,111,87.6907
0,112,87.8432
0,113,88.4142
0,114,88.4622
0,115,88.4793
0,116,88.8233
0,117,88.9917
0,118,89.4453
0,119,89.8418
0,120,90.2795
0,121,91.0261
0,122,91.2305
0,123,91.9682
0,124,92.5283
0,125,93.1011
0,126,93.1792
0,127,93.5077
0,128,93.8626
0,129,94.7927
0,130,95.4537
0,131,95.46
0,132,95.8905
0,133,96.5056
0,134,97.2947
0,135,97.9019
0,136,97.909
0,137,98.4586
0,138,98.6131
0,139,98.6685
0,140,98.7543
0,141,99.7562
0,142,100.655
0,143,100.737
0,144,100.782
0,145,101.13
0,146,102.122
0,147,102.781
0,148,103.211
0,149,103.817
0,150,104.608
0,151,104.665
0,152,105.526
0,153,105.878
0,154,106.1
0,155,106.826
0,156,106.901
0,157,107.872
0,158,109.072
0,159,109.966
0,160,110.099
0,161,110.988
0,162,111.891
0,163,112.593
0,164,113.224
0,165,113.357
0,166,113.589
0,167,114.995
0,168,115.087
0,169,116.194
0,170,117.048
0,171,117.562
0,172,117.624
0,173,119.06
0,174,119.929
0,175,121.542
0,176,122.337
0,177,123.005
0,178,124.346
0,179,125.014
0,180,125.736
0,181,127.359
0,182,127.829
0,183,128.321
0,184,129.751
0,185,131.089
0,186,131.687
0,187,132.304
0,188,132.981
0,189,133.547
0,190,134.365
0,191,136.194
0,192,137.784
0,193,137.791
0,194,139.429
0,195,140.039
0,196,141.269
0,197,141.915
0,198,142.339
0,199,143.556
0,200,144.828
0,201,146.695
0,202,147.395
0,203,147.504
0,204,148.454
0,205,149.991
0,206,150.829
0,207,152.214
0,208,153.469
0,209,155.152
0,210,156.142
