Day,Second,Value
0,0,67.8807
0,1,68.0342
0,2,68.1278
0,3,68.5882
0,4,68.5184
0,5,68.2931
0,6,68.3531
0,7,67.9319
0,8,67.5717
0,9,67.9276
0,10,67.5898
0,11,67.7015
0,12,67.9039
0,13,67.9029
0,14,67.7205
0,15,67.8269
0,16,67.3709
0,17,67.1869
0,18,67.4082
0,19,67.4424
0,20,67.2378
0,21,67.2063
0,22,66.8375
0,23,66.7852
0,24,66.7566
0,25,66.7855
0,26,67.1199
0,27,67.043
0,28,66.5716
0,29,66.9467
0,30,66.5109
0,31,66.6387
0,32,66.8988
0,33,67.3865
0,34,67.0226
0,35,66.9731
0,36,66.2546
0,37,66.2987
0,38,66.4986
0,39,66.7161
0,40,66.421
0,41,66.227
0,42,66.2672
0,43,66.2182
0,44,66.1981
0,45,66.2865
0,46,66.1894
0,47,66.035
0,48,66.2719
0,49,66.4704
0,50,66.4613
0,51,66.5297
0,52,66.3362
0,53,66.0962
0,54,66.3556
0,55,66.6986
0,56,66.5713
0,57,66.844
0,58,66.8762
0,59,66.892
0,60,67.0772
0,61,66.7556
0,62,66.4399
0,63,66.81
0,64,66.3478
0,65,66.1029
0,66,65.9452
0,67,65.9786
0,68,65.69
0,69,65.6071
0,70,65.5643
0,71,65.4485
0,72,65.532
0,73,65.4743
0,74,65.4173
0,75,65.2833
0,76,65.2946
0,77,65.1292
0,78,65.1767
0,79,65.1442
0,80,65.134
0,81,65.1269
0,82,65.4528
0,83,65.1699
0,84,65.428
0,85,65.5801
0,86,65.7538
0,87,65.4186
0,88,65.4492
0,89,65.5029
0,90,65.7062
0,91,65.865
0,92,66.6451
0,93,67.0684
0,94,66.9895
0,95,66.5017
0,96,66.3997
0,97,66.4019
0,98,66.5116
0,99,66.0764
0,100,66.3205
0,101,66.1361
0,102,66.3869
0,103,66.4995
0,104,65.9685
0,105,65.985
0,106,66.0574
0,107,66.1715
0,108,65.8487
0,109,65.9747
0,110,66.3525
0,111,66.4921
0,112,67
0,113,66.7536
